Ano,DimUniversidade_idDimUniversidade,DimCurso_idDimCurso,DimArea_idDimArea,QuantidadeVagas,"Inscritos no 1.º ano, pela 1.ª vez, através de todos os regimes","Inscritos no 1.º ano, pela 1.ª vez, através do regime geral de acesso",Inscritos pela 1.ª vez através do regime geral de acesso,"Taxa de ocupação
[Inscritos pela 1.ª vez através do regime geral de acesso / Vagas]",Inscritos pela 1.ª vez através de todos os regimes,Distrito,Concelho
2021,140,8031,9,15,13,12,12.0,0.8,13.0,R. A. Açores,Angra do Heroísmo
2021,140,8086,8,15,15,14,14.0,0.9333333333333333,15.0,R. A. Açores,Angra do Heroísmo
2021,140,9022,8,20,24,13,13.0,0.65,24.0,R. A. Açores,Angra do Heroísmo
2021,140,L121,5,25,27,15,15.0,0.6,27.0,R. A. Açores,Angra do Heroísmo
2021,150,9181,2,22,35,22,22.0,1,35.0,R. A. Açores,Ponta Delgada
2021,150,9219,3,36,54,31,31.0,0.8611111111111112,54.0,R. A. Açores,Ponta Delgada
2021,150,9238,9,36,46,36,36.0,1,46.0,R. A. Açores,Ponta Delgada
2021,150,9240,3,29,40,29,29.0,1,40.0,R. A. Açores,Ponta Delgada
2021,150,9798,4,40,55,39,39.0,0.975,55.0,R. A. Açores,Ponta Delgada
2021,150,9853,1,21,28,21,21.0,1,28.0,R. A. Açores,Ponta Delgada
2021,150,L041,2,24,26,25,25.0,1.0416666666666667,26.0,R. A. Açores,Ponta Delgada
2021,150,L086,3,20,24,19,19.0,0.95,24.0,R. A. Açores,Ponta Delgada
2021,160,8083,9,50,50,50,50.0,1,50.0,R. A. Açores,Ponta Delgada
2021,160,8524,5,26,31,26,26.0,1,31.0,R. A. Açores,Ponta Delgada
2021,160,8571,7,22,15,13,13.0,0.5909090909090909,15.0,R. A. Açores,Ponta Delgada
2021,160,9011,5,28,37,28,28.0,1,37.0,R. A. Açores,Ponta Delgada
2021,160,9185,6,26,30,19,19.0,0.7307692307692307,30.0,R. A. Açores,Ponta Delgada
